Date,Product,Region,Sales,Quantity
2025-03-06,Laptop,North,53811.97,7.0
2025-03-07,Tablet,East,47250.15,5.0
2025-03-08,Laptop,South,55681.13,8.0
2025-03-09,,North,37687.53,8.0
2025-03-10,Tablet,South,35462.58,4.0
,Phone,South,41157.25,18.0
,Phone,East,55279.34,16.0
2025-03-13,Laptop,South,42421.79,7.0
2025-03-14,Laptop,West,72997.15,11.0
2025-03-15,Accessory,South,,6.0
2025-03-16,Phone,North,31879.58,11.0
2025-03-17,Accessory,North,35379.19,19.0
2025-03-18,Tablet,East,31882.11,2.0
2025-03-19,Laptop,,60318.55,16.0
2025-03-20,Phone,North,43265.14,18.0
2025-03-21,,South,39469.17,15.0
2025-03-22,Tablet,West,43934.41,8.0
2025-03-23,Tablet,North,33498.64,19.0
2025-03-24,Laptop,South,40613.76,
2025-03-25,Accessory,East,32742.45,5.0
2025-03-26,Accessory,West,40501.73,19.0
2025-03-27,Accessory,North,35203.23,7.0
2025-03-28,Laptop,East,,8.0
2025-03-29,Tablet,East,,19.0
2025-03-30,Accessory,South,45901.63,17.0
2025-03-31,Laptop,South,49639.56,11.0
2025-04-01,Phone,East,50087.94,6.0
2025-04-02,Phone,North,49425.97,2.0
2025-04-03,Phone,South,30162.8,4.0
2025-04-04,Phone,East,53726.94,2.0
2025-04-05,Accessory,North,53172.38,17.0
2025-04-06,Accessory,North,42385.97,8.0
2025-04-07,Accessory,West,39623.9,2.0
2025-04-08,Tablet,North,65519.46,9.0
2025-04-09,Accessory,East,,9.0
2025-04-10,Accessory,South,59255.06,2.0
2025-04-11,Accessory,West,58340.54,3.0
2025-04-12,Phone,North,39498.88,19.0
2025-04-13,Tablet,North,,5.0
2025-04-14,Accessory,East,44287.83,15.0
,Tablet,North,56504.45,7.0
,Laptop,East,51999.66,4.0
2025-04-17,Phone,South,51006.23,2.0
2025-04-18,Tablet,East,31852.26,10.0
2025-04-19,Tablet,East,55425.44,4.0
2025-04-20,Phone,North,50521.34,3.0
2025-04-21,Laptop,East,60128.8,12.0
2025-04-22,Tablet,East,60533.29,2.0
2025-04-23,Accessory,North,77553.64,3.0
2025-04-24,Laptop,South,47507.25,1.0
2025-04-25,Accessory,South,23673.75,13.0
2025-04-26,Tablet,South,45134.32,6.0
2025-04-27,Accessory,South,15977.77,6.0
2025-04-28,Tablet,West,45755.82,4.0
2025-04-29,Phone,South,72828.74,5.0
2025-04-30,Laptop,West,34628.07,9.0
2025-05-01,Tablet,East,62227.23,5.0
2025-05-02,Laptop,South,58264.67,19.0
2025-05-03,Phone,East,49353.34,15.0
2025-05-04,Phone,East,63052.88,4.0
2025-05-05,Accessory,North,48593.14,19.0
2025-05-06,Accessory,West,64067.72,14.0
,Laptop,North,66465.0,
2025-05-08,Phone,East,51665.39,17.0
2025-05-09,Phone,West,47789.81,14.0
2025-05-10,Laptop,East,,11.0
2025-05-11,Accessory,West,47606.75,6.0
2025-05-12,,South,53937.6,5.0
2025-05-13,Tablet,North,39125.25,19.0
2025-05-14,Laptop,North,40968.09,4.0
,Tablet,West,48578.32,5.0
2025-05-16,,North,64571.12,13.0
2025-05-17,Laptop,North,56294.63,10.0
2025-05-18,,South,52157.24,3.0
2025-05-19,Phone,West,68138.3,5.0
,Phone,West,65591.89,4.0
2025-05-21,Accessory,South,54854.9,19.0
2025-05-22,Accessory,West,52777.48,1.0
2025-05-23,Accessory,North,55757.01,14.0
2025-05-24,Phone,South,49185.4,8.0
2025-05-25,Laptop,North,51364.43,9.0
2025-05-26,Phone,North,50605.29,16.0
2025-05-27,Accessory,North,54677.32,5.0
2025-05-28,Accessory,West,78926.58,1.0
2025-05-29,Accessory,East,,14.0
2025-05-30,Phone,South,69599.79,9.0
2025-01-01,Tablet,West,50792.45,17.0
2025-01-02,Laptop,South,,13.0
2025-01-03,Laptop,South,45394.43,3.0
2025-01-04,Laptop,East,61204.76,10.0
2025-01-05,Accessory,East,36131.75,2.0
