Date,Category,SubCategory,Quantity,Price,Revenue
2025-04-10,Books,Education,3,1129.12,3387.35
2025-02-19,Home,Decor,1,860.02,860.02
2025-04-27,Home,Furniture,3,617.36,1852.09
2025-03-19,Electronics,Laptop,3,1953.4,5860.2
2025-03-01,Sports,Outdoor,1,1417.47,1417.47
2025-04-01,Electronics,Phone,4,250.24,1000.94
2025-01-18,Home,Kitchen,1,1923.71,1923.71
2025-01-24,Sports,Accessories,4,511.96,2047.83
2025-03-31,Books,Education,1,1727.54,1727.54
2025-03-22,Books,Non‑Fiction,1,1997.59,1997.59
2025-05-01,Fashion,Women,1,1344.68,1344.68
2025-06-03,Sports,Accessories,4,309.21,1236.82
2025-06-20,Electronics,Tablet,2,1904.48,3808.96
2025-06-10,Fashion,Accessories,3,1030.33,3090.99
2025-05-25,Electronics,Tablet,4,1348.67,5394.68
2025-05-23,Sports,Accessories,4,1190.1,4760.41
2025-02-09,Electronics,Tablet,1,265.23,265.23
2025-06-04,Fashion,Men,1,697.55,697.55
2025-06-12,Electronics,Phone,1,759.21,759.21
2025-03-10,Sports,Team,2,1941.26,3882.52
2025-03-08,Books,Education,1,1077.19,1077.19
2025-01-11,Home,Decor,2,1361.58,2723.17
2025-02-01,Electronics,Phone,1,1217.25,1217.25
2025-05-01,Electronics,Accessory,1,1421.6,1421.6
