Date,Product,Region,Sales,Quantity
2025-02-18,Tablet,South,63304.91,2.0
2025-02-19,Laptop,,60330.29,19.0
,Tablet,West,41339.67,8.0
2025-02-21,Tablet,North,44569.39,
2025-02-22,Phone,West,84032.36,14.0
2025-02-23,Phone,South,35385.67,14.0
2025-02-24,Laptop,South,33552.64,15.0
2025-02-25,Tablet,East,49708.32,17.0
2025-02-26,Accessory,East,32130.51,16.0
2025-02-27,Phone,South,35330.68,13.0
2025-02-28,Laptop,North,32488.43,2.0
2025-03-01,Phone,South,36000.45,1.0
2025-03-02,,West,47459.54,8.0
2025-03-03,Accessory,East,58770.79,5.0
2025-03-04,Laptop,West,51609.6,11.0
2025-03-05,Accessory,South,59206.34,16.0
2025-03-06,Laptop,East,45169.9,12.0
2025-03-07,Laptop,South,17874.39,5.0
2025-03-08,Phone,East,40548.14,9.0
2025-03-09,Laptop,South,29122.71,18.0
2025-03-10,Laptop,South,52626.18,9.0
2025-03-11,Accessory,South,56054.07,11.0
2025-03-12,Phone,East,42512.53,13.0
2025-03-13,Tablet,South,47988.41,16.0
2025-03-14,Accessory,East,57083.09,9.0
2025-03-15,Tablet,West,63914.57,4.0
2025-03-16,Accessory,East,40790.19,7.0
2025-03-17,Tablet,,60815.29,1.0
2025-03-18,Tablet,South,43768.01,9.0
2025-03-19,Laptop,West,60185.71,7.0
2025-03-20,Phone,West,17769.23,13.0
2025-03-21,Tablet,West,44586.09,7.0
2025-03-22,Accessory,North,54046.57,18.0
2025-03-23,Laptop,West,34529.99,12.0
2025-03-24,Accessory,West,19258.82,12.0
2025-03-25,Laptop,West,35041.28,1.0
2025-03-26,Laptop,East,46271.82,8.0
2025-03-27,Laptop,North,54765.69,18.0
2025-03-28,,West,56881.61,1.0
2025-03-29,Tablet,West,49287.2,16.0
2025-03-30,Tablet,,31266.72,6.0
2025-03-31,Laptop,South,36282.01,12.0
2025-04-01,Tablet,West,55631.36,1.0
2025-04-02,Laptop,West,60631.47,13.0
2025-04-03,Accessory,West,50922.05,17.0
2025-04-04,Laptop,South,72874.61,3.0
2025-04-05,Tablet,West,42254.2,9.0
2025-04-06,,South,49461.05,16.0
2025-04-07,Laptop,South,52098.44,12.0
2025-04-08,Tablet,South,47054.31,15.0
2025-04-09,Laptop,,33662.58,4.0
2025-04-10,Laptop,East,33353.71,9.0
2025-04-11,,South,50243.07,10.0
2025-04-12,Accessory,North,54922.77,1.0
2025-04-13,Phone,West,71535.09,5.0
2025-04-14,Laptop,North,50577.51,9.0
2025-04-15,Accessory,South,16648.55,4.0
2025-04-16,Phone,East,32828.23,18.0
2025-04-17,Tablet,North,29889.4,9.0
2025-04-18,Tablet,East,38457.99,11.0
2025-04-19,,East,55655.65,2.0
2025-04-20,Tablet,East,53512.21,1.0
2025-04-21,Laptop,North,53477.42,18.0
2025-04-22,Laptop,East,32670.4,18.0
2025-04-23,Phone,West,45405.22,5.0
2025-04-24,Laptop,East,49440.92,1.0
2025-04-25,Tablet,North,74991.38,17.0
,Phone,West,65949.86,12.0
2025-04-27,Phone,West,47710.42,10.0
2025-04-28,Tablet,North,60513.67,6.0
2025-04-29,Accessory,East,51510.27,10.0
2025-04-30,Accessory,East,46416.04,18.0
2025-05-01,Accessory,South,45793.89,1.0
2025-05-02,Laptop,South,28711.16,13.0
2025-05-03,Laptop,South,68782.43,14.0
2025-05-04,Phone,West,51546.41,16.0
2025-05-05,Laptop,East,35716.18,2.0
2025-05-06,Laptop,South,44485.24,2.0
2025-05-07,Laptop,North,42937.97,13.0
2025-05-08,,West,47839.95,8.0
2025-05-09,Laptop,East,44023.69,11.0
2025-05-10,Phone,West,69526.28,6.0
2025-05-11,Laptop,North,29498.46,14.0
2025-05-12,Laptop,East,62541.41,1.0
2025-05-13,Laptop,North,48340.79,9.0
2025-05-14,Tablet,West,61567.83,15.0
2025-05-15,Accessory,West,43615.53,15.0
2025-05-16,Tablet,West,,6.0
2025-05-17,Laptop,North,52322.53,6.0
2025-05-18,Tablet,West,75542.1,1.0
2025-05-19,Laptop,South,35291.1,15.0
2025-05-20,Laptop,North,58860.28,2.0
,Phone,North,67290.32,10.0
2025-05-22,,North,56079.03,12.0
2025-05-23,Laptop,North,,1.0
2025-05-24,Phone,North,74750.45,1.0
2025-05-25,Laptop,,50879.92,5.0
2025-05-26,Accessory,South,60040.58,4.0
2025-05-27,Laptop,North,53136.24,13.0
2025-05-28,Phone,South,56905.42,16.0
2025-05-29,Phone,East,44280.61,1.0
2025-05-30,Tablet,North,41318.84,
2025-05-31,Phone,North,65283.66,5.0
2025-06-01,Tablet,East,50975.41,14.0
2025-06-02,Phone,South,,17.0
2025-06-03,Tablet,East,36669.65,10.0
2025-06-04,Phone,South,61730.61,18.0
2025-06-05,Phone,North,66424.75,7.0
2025-06-06,Tablet,West,52375.54,1.0
2025-06-07,Accessory,North,31083.45,15.0
2025-06-08,Laptop,East,59631.46,12.0
2025-06-09,Phone,West,30471.97,1.0
2025-06-10,Phone,South,57185.2,9.0
2025-06-11,Phone,North,60355.45,18.0
2025-06-12,Phone,West,34756.74,4.0
2025-06-13,Phone,East,41706.07,19.0
2025-06-14,Tablet,East,33268.71,7.0
2025-06-15,Tablet,West,39435.17,5.0
2025-06-16,,East,32686.82,9.0
2025-06-17,Laptop,North,29494.49,14.0
2025-06-18,Tablet,South,28813.57,8.0
2025-06-19,Tablet,North,,18.0
2025-06-20,Tablet,East,52162.4,10.0
2025-06-21,Tablet,West,63134.97,19.0
2025-06-22,Phone,North,,
2025-06-23,Accessory,West,66441.18,1.0
2025-06-24,Phone,West,34485.5,3.0
2025-06-25,Tablet,North,48726.34,11.0
2025-06-26,Phone,West,46500.2,10.0
2025-06-27,Accessory,West,35719.7,18.0
2025-06-28,Tablet,North,38781.76,17.0
2025-06-29,Laptop,West,33896.96,7.0
2025-06-30,Phone,West,49956.26,11.0
2025-07-01,Laptop,East,40516.81,10.0
2025-07-02,Accessory,North,54250.9,
2025-07-03,Phone,South,53312.75,14.0
2025-07-04,Phone,East,47073.03,2.0
2025-07-05,,,40721.38,6.0
2025-07-06,Tablet,South,45396.68,3.0
2025-07-07,Phone,South,58994.9,19.0
2025-07-08,Laptop,West,51932.11,
2025-07-09,,North,,
2025-07-10,Laptop,West,46205.78,19.0
2025-07-11,Accessory,East,71205.13,
2025-07-12,Accessory,South,45089.65,12.0
2025-07-13,Accessory,West,46794.28,12.0
2025-07-14,Tablet,West,57740.16,15.0
,Phone,South,44472.69,15.0
2025-07-16,Tablet,West,32963.33,11.0
,Laptop,South,40256.68,15.0
2025-07-18,Tablet,South,45004.92,14.0
2025-07-19,Accessory,West,49064.17,11.0
2025-01-01,Laptop,East,35619.27,6.0
2025-01-02,Phone,West,52396.56,
2025-01-03,Phone,North,44599.81,14.0
2025-01-04,Phone,East,62126.61,14.0
2025-01-05,Phone,North,49012.14,14.0
